Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,cartesian_point.pose.position.x,cartesian_point.pose.position.y,cartesian_point.pose.position.z,cartesian_point.pose.orientation.w,cartesian_point.pose.orientation.x,cartesian_point.pose.orientation.y,cartesian_point.pose.orientation.z,cartesian_point.pose.euler_orientation.phi,cartesian_point.pose.euler_orientation.theta,cartesian_point.pose.euler_orientation.psi,cartesian_point.velocity.linear.x,cartesian_point.velocity.linear.y,cartesian_point.velocity.linear.z,cartesian_point.velocity.angular.x,cartesian_point.velocity.angular.y,cartesian_point.velocity.angular.z,cartesian_point.acceleration.linear.x,cartesian_point.acceleration.linear.y,cartesian_point.acceleration.linear.z,cartesian_point.acceleration.angular.x,cartesian_point.acceleration.angular.y,cartesian_point.acceleration.angular.z
18.233,92,18,233000000,,0.599369452352654,-8.601410878629476e-05,0.011097001431721905,0.9998465853239011,0.0,0.0,0.01751587326212894,0.0,0.0,0.03503353809554843,-0.0024714292948377317,-0.0003316160114929131,0.044746471031952645,0.0,0.0,0.0,-0.006659540603798975,-0.0008642768023073075,0.127669842951121,0.0,0.0,0.0
18.243,93,18,243000000,,0.5993444036137607,-8.937365199355543e-05,0.011550883513351463,0.9998401934344937,0.0,0.0,0.01787701297404832,0.0,0.0,0.03575593064588041,-0.0025384650999742977,-0.00034030950220101126,0.04603333337465322,0.0,0.0,0.0,-0.006747509866715816,-0.000874400092326167,0.1297026854391489,0.0,0.0,0.0
18.253,94,18,253000000,,0.5993186801295134,-9.282063413399484e-05,0.01201773586503896,0.9998336127003049,0.0,0.0,0.018241351777124576,0.0,0.0,0.036484727108437275,-0.002606377239103887,-0.0003491035829208618,0.04734052534653363,0.0,0.0,0.0,-0.006834803218829904,-0.0008843942585562159,0.13173570977861893,0.0,0.0,0.0
18.263,95,18,263000000,,0.5992922731707849,-9.635605459715362e-05,0.01249776178628192,0.9998268399021983,0.0,0.0,0.01860887452759789,0.0,0.0,0.037219897413689286,-0.002675158828093048,-0.00035799694612059346,0.048668047001450665,0.0,0.0,0.0,-0.006921395703201505,-0.0008942560510994082,0.13376856359728137,0.0,0.0,0.0
18.273,96,18,273000000,,0.5992651740785323,-9.998089953564762e-05,0.012991164559553684,0.9998198718126446,0.0,0.0,0.01897956607899365,0.0,0.0,0.037961411492106814,-0.0027448027346815827,-0.0003669882520359239,0.050015894886298685,0.0,0.0,0.0,-0.007007262651251535,-0.0009039822733328656,0.13580089787308103,0.0,0.0,0.0
18.283,97,18,283000000,,0.5992373742662641,-0.00010369614154550387,0.013498147415401162,0.9998127051962012,0.0,0.0,0.01935341128209584,0.0,0.0,0.03870923927416015,-0.00281530158136109,-0.00037607612920174905,0.05138406207445659,0.0,0.0,0.0,-0.007092379681749833,-0.0009135697816761652,0.13783236692311715,0.0,0.0,0.0
18.293,98,18,293000000,,0.5992088652224778,-0.0001075027393518003,0.014018913497876397,0.9998053368099907,0.0,0.0,0.019730394984921015,0.0,0.0,0.03946335069031962,-0.0028866477482433948,-0.0003852591749814025,0.052772538199123975,0.0,0.0,0.0,-0.007176722699803465,-0.0009230154853586345,0.13986262839260358,0.0,0.0,0.0
18.303,99,18,303000000,,0.5991796385130703,-0.000111401637499587,0.014553665830301033,0.9997977634041763,0.0,0.0,0.020110502032692826,0.0,0.0,0.04022371567105555,-0.0029588333759188626,-0.00039453595609359086,0.054181309486547126,0.0,0.0,0.0,-0.007260267895844946,-0.0009323163461866339,0.14189134324382788,0.0,0.0,0.0
18.313,100,18,313000000,,0.5991496857837177,-0.0001153937660500648,0.015102607281362425,0.9997899817224349,0.0,0.0,0.020493717267817062,0.0,0.0,0.04099030414683822,-0.0030318503683045965,-0.00040390500913699913,0.05561035878913461,0.0,0.0,0.0,-0.007342991744620561,-0.000941469378310852,0.14391817574511148,0.0,0.0,0.0
18.323,101,18,323000000,,0.5991189987622292,-0.00011948004028199837,0.015665940531540405,0.9997819885024297,0.0,0.0,0.020880025529857335,0.0,0.0,0.041763086048137985,-0.0031056903954825165,-0.000413364841112572,0.0570596656184624,0.0,0.0,0.0,-0.007424871004178604,-0.0009504716479935905,0.1459427934597694,0.0,0.0,0.0
18.333,102,18,333000000,,0.5990875692608698,-0.00012366136039834063,0.016243868039863503,0.9997737804762777,0.0,0.0,0.021269411655511244,0.0,0.0,0.04254203130542513,-0.0031803448965273193,-0.00042291392994346503,0.05852920617816851,0.0,0.0,0.0,-0.007505882714857676,-0.0009593202733760569,0.14796486723507002,0.0,0.0,0.0
18.343,103,18,343000000,,0.5990553891786577,-0.0001279386112380448,0.016836592010993596,0.9997653543710175,0.0,0.0,0.021661860478587213,0.0,0.0,0.04332710984916999,-0.0032558050823243228,-0.00043255072499267074,0.060018953396737434,0.0,0.0,0.0,-0.007586004198274948,-0.0009680124242456515,0.14998407119119475,0.0,0.0,0.0
18.353,104,18,353000000,,0.5990224505036311,-0.0001323126619930413,0.017444314362637804,0.9997567069090734,0.0,0.0,0.02205735682998185,0.0,0.0,0.04411829160984287,-0.0033320619383771966,-0.0004422736475783179,0.06152887696017411,0.0,0.0,0.0,-0.0076652130563144355,-0.0009765453218032586,0.152000082710198,0.0,0.0,0.0
18.363,105,18,363000000,,0.5989887453150886,-0.00013678436593035574,0.018067236693286647,0.999747834808718,0.0,0.0,0.02245588553765796,0.0,0.0,0.04491554651791409,-0.003409106227605566,-0.00045208109148664065,0.0630589433445673,0.0,0.0,0.0,-0.007743487170115256,-0.0009849162384305337,0.1540125824249665,0.0,0.0,0.0
