Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position_controller_output.thrust.num,position_controller_output.orientation_set_point.w,position_controller_output.orientation_set_point.x,position_controller_output.orientation_set_point.y,position_controller_output.orientation_set_point.z,position_controller_output.euler_set_point.phi,position_controller_output.euler_set_point.theta,position_controller_output.euler_set_point.psi
22.863,555,22,863000000,,18.001845068074626,0.9608079114129687,0.00280452178629741,0.010778230390700791,0.2769911943969411,0.011362493072385616,0.019159134492413996,0.5614673370951287
22.873,556,22,873000000,,17.989936799112108,0.9607324041861564,0.0028409689297675717,0.010851796111713892,0.2772497339284165,0.011478521710718118,0.01927722249332649,0.5620078371156048
22.883,557,22,883000000,,17.977812282563928,0.9606575146265526,0.0028780136813455967,0.010925638891271553,0.2775058324497029,0.011595868817671008,0.01939547906501471,0.5625433321301843
22.893,558,22,893000000,,17.96547185466925,0.9605832425637664,0.002915652552125003,0.01099975506946916,0.2777594975231049,0.01171452505480701,0.019513898841737112,0.5630738369492331
22.903,559,22,903000000,,17.95291796818891,0.9605095900845749,0.0029533908767320717,0.011073905698452652,0.2780107434083669,0.011833406532511102,0.019632297571989473,0.5635993663831166
22.913,560,22,913000000,,17.94015265558394,0.9604365587215346,0.0029908440526679146,0.011147916916359059,0.27825958289233227,0.011951676844885588,0.01975055592205013,0.5641199352422006
22.923000000000002,561,22,923000000,,17.92717561489703,0.9603641475445868,0.0030282155444030508,0.011221863006126997,0.27850602114181894,0.012069767388585747,0.019868704495057257,0.5646355583368492
22.933,562,22,933000000,,17.913985227378998,0.9602923540280944,0.003066067753930503,0.011295968802386726,0.2787500584977965,0.01218888301719016,0.0199868624939898,0.565146250477429
22.943,563,22,943000000,,17.900581058574794,0.9602211768934845,0.0031046385126627654,0.01137032726528335,0.2789916993798877,0.012309531705470979,0.020105075739162162,0.5656520264743046
22.953,564,22,953000000,,17.88696508583766,0.9601506172976462,0.003143530316798233,0.011444797114659578,0.2792309562693586,0.012430870427831054,0.02022329454064379,0.5661529011378417
22.963,565,22,963000000,,17.87313988908848,0.9600806768910881,0.0031821856934135554,0.011519199481177793,0.27946784358468774,0.012551727887747674,0.020341487297560183,0.5666488892784061
22.973,566,22,973000000,,17.859106069648313,0.9600113556011135,0.003220569822606534,0.011593511653096376,0.2797023695546382,0.012672023776256962,0.020459631013586013,0.5671400057063617
22.983,567,22,983000000,,17.844862287147087,0.9599426514048853,0.0032592270821710694,0.011667875995662477,0.27993453542272206,0.012792882355244083,0.020577695412031423,0.5676262652320757
22.993,568,22,993000000,,17.830407520344398,0.9598745623596606,0.003298631252842159,0.011742420897729052,0.28016434305273163,0.012915284485344559,0.020695661854280345,0.568107682665912
23.003,569,23,3000000,,17.81574299633001,0.9598070885297962,0.0033385950203415216,0.011817103880853464,0.2803918020326473,0.013038845950452606,0.02081355351337464,0.5685842728182376
23.013,570,23,13000000,,17.800871440879988,0.9597402311795501,0.0033784830309002375,0.011891794521627762,0.28061692702132024,0.01316227307159675,0.02093147660076064,0.5690560504994157
23.023,571,23,23000000,,17.785794357001244,0.9596739907558266,0.0034179844650845995,0.011966426640397366,0.2808397291738514,0.013284931341482481,0.02104947955669654,0.569523030519813
23.033,572,23,33000000,,17.77051100496973,0.9596083660068019,0.0034574975698073458,0.012041047965826121,0.2810602119905898,0.013407611378116352,0.021167431405482072,0.5699852276897953
23.043,573,23,43000000,,17.755020100014775,0.9595433549243546,0.0034976613333493286,0.012115755116172813,0.28127837610395195,0.013531593262408506,0.02128515882200665,0.5704426568197274
23.053,574,23,53000000,,17.73931950433642,0.9594789566347149,0.003538579187360295,0.012190568861977663,0.2814942277619826,0.013657086364713786,0.021402643312089683,0.5708953327199741
23.063,575,23,63000000,,17.7234084662698,0.9594151716347299,0.0035796772772775545,0.012265434495892352,0.28170778026941173,0.013782957739478465,0.021520103012402272,0.5713432702009014
23.073,576,23,73000000,,17.707295623390525,0.9593520003815788,0.003620396497066929,0.012340305277733457,0.28191904681791147,0.013908107434580643,0.021637764049397053,0.5717864840728738
23.083,577,23,83000000,,17.690978567355376,0.9592894423220388,0.00366087088592958,0.01241516458085928,0.28212803398857506,0.014032782716569738,0.021755520119713087,0.5722249891462591
23.093,578,23,93000000,,17.674452703403283,0.9592274959165913,0.0037017769781550773,0.01249003133803547,0.2823347428885873,0.014158291735175318,0.021873026540262165,0.57265880023142
23.103,579,23,103000000,,17.657724415115293,0.9591661598081949,0.0037435223092960566,0.012564928380937548,0.28253917691941777,0.014285428460685923,0.021990097011093848,0.5730879321387228
