Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,torques.x,torques.y,torques.z
18.233,92,18,233000000,,0.00019659087874819198,-0.0018587081957735405,0.00624918244140701
18.243,93,18,243000000,,0.00019676126401970974,-0.0017792279007829142,0.006303998579138756
18.253,94,18,253000000,,0.00019289913745512368,-0.0017300457902601522,0.006365762456198974
18.263,95,18,263000000,,0.00017459776585627385,-0.0016693922497695698,0.0064122826981303175
18.273,96,18,273000000,,0.00015144119014539166,-0.0016184107056076505,0.006459913218480303
18.283,97,18,283000000,,0.00013397356382027236,-0.001568536720323894,0.006504486204225817
18.293,98,18,293000000,,0.00012978256455423124,-0.0015346493167398823,0.0065581903957071365
18.303,99,18,303000000,,0.0001357016340182324,-0.00149951862833565,0.006604273639825311
18.313,100,18,313000000,,0.00014181766846963409,-0.0014851615306681902,0.0066632791089974676
18.323,101,18,323000000,,0.00013909856937246705,-0.0014730645583023907,0.006725673583399571
18.333,102,18,333000000,,0.00012468689598822824,-0.0014557502005297467,0.006777194963146275
18.343,103,18,343000000,,0.00010780502583490971,-0.0014256141727149742,0.006824663435516365
18.353,104,18,353000000,,9.80658638002582e-05,-0.0013905936881339009,0.006868746747500237
18.363,105,18,363000000,,0.00010000021502488144,-0.0013699473175240926,0.006920208842747415
18.373,106,18,373000000,,0.00010567538507045966,-0.001351840971268875,0.006970101332440329
18.383,107,18,383000000,,0.00010800275572845319,-0.001353437510567629,0.0070302109157484895
18.393,108,18,393000000,,0.00010061861997994869,-0.001354413892522585,0.007090391099161931
18.403,109,18,403000000,,8.646161892251609e-05,-0.0013412055901714768,0.00714540775347071
18.413,110,18,413000000,,7.449386181804993e-05,-0.0013113323935391684,0.007194350539890661
18.423000000000002,111,18,423000000,,7.1829605326704e-05,-0.0012765911355540603,0.007240989598601706
18.433,112,18,433000000,,7.701364788275611e-05,-0.0012548673167124197,0.007290615438431079
18.443,113,18,443000000,,8.110558351742155e-05,-0.001255583467296068,0.007345804972429962
18.453,114,18,453000000,,7.597026427100908e-05,-0.0012708331877365248,0.007404652260130864
18.463,115,18,463000000,,6.187878311846384e-05,-0.001280586294214678,0.007462885472068532
18.473,116,18,473000000,,4.758518335777958e-05,-0.0012681639653956218,0.007517605946256492
18.483,117,18,483000000,,4.3131871414103525e-05,-0.0012309667862136825,0.0075693029495626845
18.493,118,18,493000000,,4.806700334819063e-05,-0.0012004478681326449,0.007622833685370357
18.503,119,18,503000000,,5.81720679030466e-05,-0.0011778599228864572,0.007676101398030078
18.513,120,18,513000000,,5.792423419593911e-05,-0.0011919630259908038,0.00772984590411281
18.523,121,18,523000000,,4.133015281198043e-05,-0.0012201737823566625,0.007785366473700831
18.533,122,18,533000000,,1.8603103017209622e-05,-0.0012362628724544456,0.007839655753441756
18.543,123,18,543000000,,5.860887754944528e-06,-0.0012214619450475865,0.007893668854454588
18.553,124,18,553000000,,1.2409024669954907e-05,-0.0011807450038692126,0.007949474638055174
18.563,125,18,563000000,,3.157397836226986e-05,-0.0011405667839640308,0.008007626845614294
18.573,126,18,573000000,,4.401791032482809e-05,-0.0011295788175743151,0.008065799089435008
18.583,127,18,583000000,,3.313630995292982e-05,-0.0011545758480910784,0.008120453700627766
18.593,128,18,593000000,,9.533837505044833e-07,-0.001193213463626628,0.00817063225563831
18.603,129,18,603000000,,-3.0965341566217204e-05,-0.0012115210151880532,0.008219606439619316
18.613,130,18,613000000,,-3.858725693876032e-05,-0.0011913818366456272,0.008273284084059128
18.623,131,18,623000000,,-1.6075890432879693e-05,-0.0011445206101793528,0.00833488800402753
18.633,132,18,633000000,,1.7248307146898242e-05,-0.0011046616996414878,0.008401039595354329
18.643,133,18,643000000,,2.9137682244843193e-05,-0.0010964453391939706,0.008463464995686322
18.653,134,18,653000000,,8.64556614975109e-06,-0.0011389515507103417,0.008517736979201676
18.663,135,18,663000000,,-4.306436145721316e-05,-0.0011798970388501903,0.008561026792774165
18.673000000000002,136,18,673000000,,-8.697541569046668e-05,-0.0011985754590652336,0.008601366561256391
18.683,137,18,683000000,,-8.374911048771614e-05,-0.0011710482852777362,0.00865613972869717
18.693,138,18,693000000,,-4.0579400819837606e-05,-0.0011253723496552528,0.008733600541782122
18.703,139,18,703000000,,2.301883062647547e-06,-0.0010917497510600288,0.008807872950723668
18.713,140,18,713000000,,1.3898098945599191e-05,-0.0010948926197413796,0.008865389750136659
18.723,141,18,723000000,,-3.338599027785885e-05,-0.0011395051832197413,0.008912143373478527
18.733,142,18,733000000,,-0.00010459209275996215,-0.0011821489185151917,0.00894580414784909
18.743,143,18,743000000,,-0.00014719671828331617,-0.0011800585160707216,0.008983691915225004
18.753,144,18,753000000,,-0.00012295309447521094,-0.001161448355813587,0.00904222504474745
18.763,145,18,763000000,,-5.750228040036536e-05,-0.0011068258406024352,0.009121807085400334
18.773,146,18,773000000,,-1.5211154632629635e-06,-0.0010844847410070892,0.009204811152741051
18.783,147,18,783000000,,-8.621376784830992e-06,-0.001105710091596232,0.009269665038868192
18.793,148,18,793000000,,-8.27473589771306e-05,-0.0011519627859785373,0.009307785570169844
18.803,149,18,803000000,,-0.00017086000071436902,-0.0011838950588683725,0.009331281899419256
18.813,150,18,813000000,,-0.00020436495642602587,-0.0011770901846894903,0.009366307605545124
18.823,151,18,823000000,,-0.00015672150455641902,-0.001140265401766417,0.009432483145368062
18.833,152,18,833000000,,-6.697393155878241e-05,-0.001104682426946139,0.009523900314601375
18.843,153,18,843000000,,-1.1279471856495528e-05,-0.001099989412962867,0.00961289717240668
