Time,x,y,z
24.952,2.8072866146448372e-11,2.7521659713343015e-11,5.705790744140273e-11
24.952,-2.7948967244315777e-11,-2.7645481759574855e-11,5.662405305842692e-11
24.953,2.807286612532567e-11,2.752165961507251e-11,5.705790913449284e-11
24.954,-2.794896732527882e-11,-2.7645481888244144e-11,5.6624053100060285e-11
24.955,2.807286616363119e-11,2.7521659834777058e-11,5.705790921775957e-11
24.956,-2.794896743563712e-11,-2.764548190709975e-11,5.6624051323703445e-11
24.957,2.807286619793946e-11,2.7521659682497063e-11,5.7057909176126207e-11
24.959,-2.7948967207526946e-11,-2.76454816634224e-11,5.6624053100060285e-11
24.959,2.8072866026562062e-11,2.7521659643772783e-11,5.705790913449284e-11
24.96,-2.79489672778282e-11,-2.7645481789273172e-11,5.662405314169365e-11
24.961,2.8072865983418518e-11,2.75216596654947e-11,5.705791091084968e-11
24.962,-2.794896709867344e-11,-2.7645481840190637e-11,5.662405483478376e-11
24.963,2.807286609414445e-11,2.7521659620953403e-11,5.705790739976937e-11
24.964,-2.79489672999688e-11,-2.7645481680693645e-11,5.662405314169365e-11
24.965,2.8072866001122096e-11,2.7521659769409085e-11,5.7057909176126207e-11
24.966,-2.7948967060719835e-11,-2.764548187233733e-11,5.662405305842692e-11
24.967,2.8072866061779328e-11,2.7521659718428677e-11,5.705790739976937e-11
24.968,-2.794896722841093e-11,-2.764548188567536e-11,5.662405305842692e-11
24.973,2.8072866177499518e-11,2.7521659780089356e-11,5.7057905706679255e-11
24.974,-2.7948967306444693e-11,-2.764548176541214e-11,5.662405483478376e-11
24.975,2.8072866117792458e-11,2.752165966779907e-11,5.705790744140273e-11
24.975,-2.7948967133426762e-11,-2.764548179429111e-11,5.662405483478376e-11
24.976,2.807286606054688e-11,2.7521659669818917e-11,5.7057909176126207e-11
24.978,-2.7948967344356397e-11,-2.764548175432978e-11,5.662405305842692e-11
24.98,2.8072866124724567e-11,2.7521659712958583e-11,5.705790921775957e-11
24.982,-2.794896718651095e-11,-2.7645481769850506e-11,5.662405136533681e-11
24.983,2.807286605888554e-11,2.7521659596011762e-11,5.705791086921632e-11
24.984,-2.7948967312095732e-11,-2.7645481750551064e-11,5.6624053100060285e-11
24.985,2.8072866131035542e-11,2.7521659649332833e-11,5.7057909176126207e-11
24.986,-2.79489671196548e-11,-2.7645481762761465e-11,5.6624054876417125e-11
24.987000000000002,2.8072866012888534e-11,2.752165968675606e-11,5.705791091084968e-11
24.988,-2.794896721549603e-11,-2.764548180143844e-11,5.6624053100060285e-11
25.005,2.80728661137241e-11,2.7521659497608806e-11,5.705791091084968e-11
25.005,-2.7948967126809627e-11,-2.764548177999717e-11,5.662405305842692e-11
25.006,2.8072865998028053e-11,2.7521659678929717e-11,5.705790913449284e-11
25.007,-2.794896714928397e-11,-2.7645481790196332e-11,5.6624053100060285e-11
25.008,2.8072866045247012e-11,2.7521659675986117e-11,5.705790913449284e-11
25.009,-2.7948967247137135e-11,-2.7645481812308886e-11,5.6624054876417125e-11
25.01,2.807286615106324e-11,2.7521659579730728e-11,5.7057909176126207e-11
25.011,-2.7948967370975043e-11,-2.7645481723670486e-11,5.6624053100060285e-11
25.012,2.8072866098190035e-11,2.7521659548146698e-11,5.705790921775957e-11
25.013,-2.7948967111373584e-11,-2.7645481665716403e-11,5.662405656950724e-11
25.014,2.8072866089134837e-11,2.752165962694842e-11,5.7057909176126207e-11
25.014,-2.7948967171541177e-11,-2.7645481798694398e-11,5.662405305842692e-11
25.015,2.807286598598469e-11,2.7521659765733895e-11,5.7057909176126207e-11
25.016,-2.7948967296760657e-11,-2.7645481949431572e-11,5.6624054876417125e-11
25.017,2.807286595082238e-11,2.7521659613730514e-11,5.7057909176126207e-11
25.018,-2.7948967191037514e-11,-2.7645481828116437e-11,5.662405656950724e-11
25.019,2.807286611436806e-11,2.7521659572317846e-11,5.705790739976937e-11
25.02,-2.7948967218589685e-11,-2.764548170432286e-11,5.662405483478376e-11
25.021,2.8072866116995728e-11,2.752165953476749e-11,5.705791091084968e-11
25.022,-2.794896718496009e-11,-2.7645481695528277e-11,5.662405483478376e-11
25.023,2.807286596754549e-11,2.7521659606466705e-11,5.7057909176126207e-11
25.024,-2.7948967184394297e-11,-2.7645481706068936e-11,5.662405830423071e-11
25.025,2.8072866161532037e-11,2.7521659684881023e-11,5.7057907483036095e-11
25.027,-2.7948967117429787e-11,-2.7645481650149355e-11,5.662405656950724e-11
25.027,2.8072866127855575e-11,2.7521659607499828e-11,5.7057909176126207e-11
25.027,-2.794896722671159e-11,-2.7645481828805452e-11,5.662405483478376e-11
25.028,2.8072866062624784e-11,2.7521659724351574e-11,5.705790744140273e-11
25.029,-2.7948967201490724e-11,-2.7645481793326745e-11,5.662405483478376e-11
25.029,2.8072866179814693e-11,2.752165967239088e-11,5.705790739976937e-11
25.03,-2.7948967281475832e-11,-2.764548183171868e-11,5.6624051323703445e-11
25.03,2.8072866141816445e-11,2.752165972164292e-11,5.7057907483036095e-11
25.03,-2.7948967191168596e-11,-2.7645481826783513e-11,5.6624053100060285e-11
25.034,2.8072866054009517e-11,2.7521659489914785e-11,5.7057909176126207e-11
25.035,-2.7948967247162364e-11,-2.764548169303606e-11,5.662405656950724e-11
25.035,2.8072866242424252e-11,2.7521659705315848e-11,5.705790566504589e-11
25.036,-2.7948967131192754e-11,-2.7645481603418975e-11,5.6624053100060285e-11
25.037,2.7056488876376582e-11,2.7374757346422857e-11,5.6732665871564864e-11
25.038,-2.4554016970312783e-12,-1.8113798943552554e-11,5.500732424931707e-09
25.043,-2.750662072442088e-12,3.497848518878985e-12,1.7405563657197134e-12
25.044,-8.04529752316731e-12,-7.814263827215033e-12,-2.7765368614582573e-12
25.045,9.04360810262953e-12,1.002349126104118e-11,1.0467185175463205e-12
25.046,-9.108463035036488e-12,-1.0304796237436387e-11,2.8327898361313578e-12
25.046,9.004032637964665e-12,9.805217016249577e-12,1.2215301826845683e-12
25.047,-9.10591233977638e-12,-1.0144212837094403e-11,2.705396684548722e-12
25.048,9.050844054813976e-12,9.769949939540373e-12,1.2940264139238117e-12
25.05,-9.153673673377237e-12,-1.0108818768236e-11,2.642153565475079e-12
25.05,9.099018334241295e-12,9.734022353834808e-12,1.3618856876783852e-12
25.051,-9.19914612801399e-12,-1.0071364076351158e-11,2.5712773716735505e-12
25.052,9.145912405065688e-12,9.698642447797993e-12,1.4237185737108007e-12
25.053,-9.239978864108791e-12,-1.0033278168421555e-11,2.512298855159731e-12
25.054,9.189040766494518e-12,9.664933372394036e-12,1.4890299966462444e-12
25.055,-9.274264034323914e-12,-9.995787249093689e-12,2.455064512895218e-12
25.056,9.262764707723552e-12,9.543727720264797e-12,1.6130830561354328e-12
25.057,-9.461342522484503e-12,-9.893189593853722e-12,2.3457315813020524e-12
25.058,9.34470022408597e-12,9.483109790182369e-12,1.7939119496581182e-12
25.06,-9.332652519999836e-12,-9.76717618960075e-12,2.1890833174955046e-12
25.06,9.311172149135898e-12,9.440496349268616e-12,1.7960816030029212e-12
25.061,-9.340607682716877e-12,-9.738272798535905e-12,2.156443190783282e-12
25.063,9.323235135512334e-12,9.42151693303007e-12,1.8250936735261103e-12
25.063,-9.339075246554636e-12,-9.714008268691241e-12,2.1379396032322832e-12
25.064,9.325958328311108e-12,9.407825926601933e-12,1.8340637065753985e-12
25.065,-9.32852042442762e-12,-9.695208747658217e-12,2.1339852524963446e-12
25.066,9.355429288339482e-12,9.308396406678666e-12,1.910041847019747e-12
25.067,-9.478925597513265e-12,-9.617193595672543e-12,2.105358776309633e-12
25.068,9.397554967561904e-12,9.277690304227669e-12,2.030539667073014e-12
25.069,-9.305498826665741e-12,-9.52022730732446e-12,1.970823379594775e-12
25.07,9.320265667441087e-12,9.263433375579037e-12,1.9799426266265776e-12
25.071,-9.27470388152533e-12,-9.521866792293289e-12,2.005018623452695e-12
25.072,9.29300661812052e-12,9.274912324490084e-12,1.9471917690455017e-12
25.072,-9.240417258737068e-12,-9.530864584170064e-12,2.033597568218037e-12
25.074,9.2616718436115e-12,9.292456377323287e-12,1.9083425812904272e-12
25.075,-9.248660243656307e-12,-9.482702142665325e-12,1.819320555416973e-12
25.076,9.163994017995207e-12,8.975234978122572e-12,2.449332695101134e-12
25.081,-9.139103906931118e-12,-9.278830942712065e-12,1.8820495163307612e-12
25.081,9.231765353524775e-12,9.203635450068308e-12,1.986822248497715e-12
