Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
94.155,2759,94,154000000,IMU,-2.3971302914491455e-05,2.7865359219597266e-05,3.443780312599186e-05,0.999999998731468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044991428400785564,0.026969432525172532,0.04113409462201445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08339119217778358,-0.11089428509252508,9.479962061805894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.165,2760,94,164000000,IMU,-2.355064550202661e-05,2.729738598370677e-05,4.09070959517393e-05,0.9999999985134148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004677349768507672,0.044088181887651345,-0.0026382210172203324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010896819009370028,-0.07264808556299712,9.496357464752576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.175,2761,94,174000000,IMU,-2.280343828016442e-05,2.6533669879315868e-05,5.092220293275679e-05,0.9999999980914486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03889632674262118,-0.009839502972392921,-0.06432325164632413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027829654621726055,0.0023348456979470677,9.552070426927425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.185,2762,94,184000000,IMU,-2.179965814773119e-05,2.5419428925026575e-05,6.67314747871705e-05,0.9999999972127689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03549068761958072,-0.03733376814553879,-0.08950097926907194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028943800737107103,-0.03258333416691563,9.627573756759812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.195,2763,94,194000000,IMU,-2.1119274973450316e-05,2.4242725715234742e-05,8.326982801959219e-05,0.9999999960162012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009392367220303471,-0.11462923941974185,-0.08583437734188085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038052285802292744,-0.0003195488859726108,9.663794205633103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.205,2764,94,204000000,IMU,-2.0969406936894682e-05,2.2935987502586094e-05,0.00010538400571143144,0.9999999939642179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03372780564097267,0.028357759977236587,0.039824607904113664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032710003767526516,-0.007693888376581724,9.643302710773881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.217,2765,94,214000000,IMU,-2.172759219086485e-05,2.1978197788220042e-05,0.00013410848094744362,0.9999999905298929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00734291886026811,0.003592971312967354,0.01944578782536774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774108994183667,0.0861821259392797,9.6413619150194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.225,2766,94,224000000,IMU,-2.2440433418634243e-05,2.1557623899900727e-05,0.0001612390422085027,0.9999999865168335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016207025511004683,0.02572366108695856,-0.002228895555869556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01436162857114333,-0.08927132103226627,9.710692009939441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.235,2767,94,234000000,IMU,-3.82851778940807e-06,2.8511205873809666e-06,0.00018402692181901771,0.9999999830556526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05420968079232454,-0.001278743960236103,-0.01289555012727373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009528319954034488,0.019174680647750162,11.804996192712752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.245,2768,94,244000000,IMU,-7.492975823853602e-05,7.833265415826248e-05,0.00019965879142918032,0.9999999741929466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07168373471215743,0.062268297082060484,0.08641716551351283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011601440974772632,0.0486662460792505,9.977775368425142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
