Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,torques.x,torques.y,torques.z
7192.677,89,7192,677000000,,0.0002707734013273218,-0.0013990232096743854,0.005168423642881781
7192.687,90,7192,687000000,,0.00025287787214717494,-0.0014926838308903635,0.005239408106935147
7192.697,91,7192,697000000,,0.00014746157733603083,-0.0016118013971649617,0.00529831263214188
7192.707,92,7192,707000000,,4.727893128403035e-05,-0.001670997828090181,0.005355438528811258
7192.717,93,7192,717000000,,2.3839451716458723e-05,-0.0016319047866448456,0.005406876408093612
7192.727,94,7192,727000000,,0.00010054314181911203,-0.0015309677063666584,0.005457863664240523
7192.737,95,7192,737000000,,0.000220572853388887,-0.0014588325219006318,0.005514839573629945
7192.747,96,7192,747000000,,0.0002846739584542368,-0.001486501645148177,0.005579965280179947
7192.757,97,7192,757000000,,0.00023372785180796374,-0.0016027222677845274,0.005648808787526014
7192.767,98,7192,767000000,,0.00010146344418856401,-0.0017243516495494171,0.005714433915649687
7192.777,99,7192,777000000,,-6.68468262529137e-06,-0.0017681684490755175,0.005774715536398305
7192.787,100,7192,787000000,,-2.24077696589462e-05,-0.0017161745185542846,0.005831418131009626
7192.797,101,7192,797000000,,9.32672732426871e-05,-0.0015866830989051555,0.005875566952620089
7192.807,102,7192,807000000,,0.0002206267071927227,-0.001541636518001498,0.005939570658058881
7192.817,103,7192,817000000,,0.00028272589765585915,-0.0015917570097282242,0.006000316677406193
7192.827,104,7192,827000000,,0.0001928186322122186,-0.0017256238398876648,0.006070959330191374
7192.837,105,7192,837000000,,2.9067925531495666e-05,-0.0018344551240297385,0.00613801728221437
7192.847,106,7192,847000000,,-8.21459095887272e-05,-0.0018400935809842628,0.006197048146102054
7192.857,107,7192,857000000,,-5.3298918183628484e-05,-0.0017468239638312516,0.006249207784502707
7192.867,108,7192,867000000,,9.43552885707616e-05,-0.0016405871278829638,0.0063010435345106615
7192.877,109,7192,877000000,,0.00023900195213260157,-0.0016215156067891892,0.006360084392970449
7192.887,110,7192,887000000,,0.00025293839065446507,-0.001716583921415378,0.006428150111417657
7192.897,111,7192,897000000,,0.00011453144359554028,-0.0018549773116897717,0.006499903404483008
7192.907,112,7192,907000000,,-7.049648398685776e-05,-0.0019310142371735679,0.006567876723852923
7192.917,113,7192,917000000,,-0.00015753319259746072,-0.0018916194830086404,0.006627591090435081
7192.927,114,7192,927000000,,-7.854374491798645e-05,-0.0017783064721178504,0.0066802652182949744
7192.937,115,7192,937000000,,8.22938607918122e-05,-0.0017079193355802648,0.00674051809342507
7192.947,116,7192,947000000,,0.00023022209563505552,-0.001724542275761177,0.006792621889798189
7192.957,117,7192,957000000,,0.0001981767235422954,-0.0018433303127158422,0.006867570106953078
7192.967,118,7192,967000000,,-3.0085507746654247e-06,-0.0019729806424503187,0.006933673774021751
7192.977,119,7192,977000000,,-0.00018896730070297905,-0.001997520967840034,0.007002432520793224
7192.987,120,7192,987000000,,-0.00022530608638139606,-0.0019122747918174727,0.0070628951937895335
7192.997,121,7192,997000000,,-8.652813790491098e-05,-0.001798008666911882,0.007116161145170687
7193.007,122,7193,7000000,,0.00010906453566133373,-0.001762220001059434,0.007169215403684985
7193.017,123,7193,17000000,,0.00018819390980343785,-0.001845618308865742,0.007229394434755309
7193.027,124,7193,27000000,,6.971440520239433e-05,-0.0019832249471773145,0.007298267374268507
7193.037,125,7193,37000000,,-0.00015769011225121677,-0.0020626216104365084,0.007371198446360564
7193.047,126,7193,47000000,,-0.00031131251318609416,-0.0020230431802763025,0.007441059298116938
7193.057,127,7193,57000000,,-0.0002711661983037396,-0.0019059825309365793,0.007502424109161647
7193.067,128,7193,67000000,,-7.724891151240503e-05,-0.0018205581079012146,0.007555972939697454
7193.077,129,7193,77000000,,0.0001004255706331931,-0.0018504868976718248,0.00760871152625001
7193.087,130,7193,87000000,,9.714230803361951e-05,-0.0019773804340214828,0.007668289311683995
7193.097,131,7193,97000000,,-0.0001004609944325086,-0.002094828194135455,0.007737173167837738
7193.107,132,7193,107000000,,-0.00033427137343658767,-0.00210496186442288,0.007811483892352907
7193.117,133,7193,117000000,,-0.00041434488463257957,-0.0020048119112948716,0.007883209415341902
7193.127,134,7193,127000000,,-0.00028363806081278505,-0.0018881956137114003,0.007945314132766902
7193.137,135,7193,137000000,,-6.199769831807345e-05,-0.0018653777586491525,0.007997928986506522
7193.147,136,7193,147000000,,5.0509618806567884e-05,-0.001964776615018175,0.00804878643802216
7193.157,137,7193,157000000,,-4.059561926963229e-05,-0.0020929140913445135,0.008108047869329869
7193.167,138,7193,167000000,,-0.00031719718677097793,-0.002160398091457194,0.008177172241773226
7193.177,139,7193,177000000,,-0.0005046536862962946,-0.002088589034464353,0.008254756849645278
7193.187,140,7193,187000000,,-0.000473723811683461,-0.0019562545457369957,0.008328877370331045
7193.197,141,7193,197000000,,-0.0002650881833406372,-0.0018865387435198578,0.008390256866172048
7193.207,142,7193,207000000,,-6.939464450157234e-05,-0.001949090825153398,0.008439377184201412
7193.217,143,7193,217000000,,-7.121634678088029e-05,-0.002093649314653546,0.008486606885577494
7193.227,144,7193,227000000,,-0.00028957734317600016,-0.002191173141288698,0.008544624656919225
7193.237,145,7193,237000000,,-0.0005466306598913035,-0.0021539806575278054,0.008619033496685852
7193.247,146,7193,247000000,,-0.0006257019835992285,-0.0020179187548712385,0.008702061058520519
7193.257,147,7193,257000000,,-0.00047340861093019817,-0.0019087537136424646,0.008777500546989963
7193.267,148,7193,267000000,,-0.00023882371024854925,-0.0019301470977137962,0.00883441242512277
