Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position_controller_output.thrust.num,position_controller_output.orientation_set_point.w,position_controller_output.orientation_set_point.x,position_controller_output.orientation_set_point.y,position_controller_output.orientation_set_point.z,position_controller_output.euler_set_point.phi,position_controller_output.euler_set_point.theta,position_controller_output.euler_set_point.psi
36.888,1,36,888000000,,10.073425430178897,0.9999999999973574,1.1114137875307887e-08,-7.731442864610186e-08,2.2975888280950523e-06,2.2227920477022287e-08,-1.5462890836323379e-07,4.595177654475623e-06
36.888,2,36,888000000,,10.073502253334864,0.9999999999578122,4.42903889659593e-08,-3.0838830119422556e-07,9.180332145918312e-06,8.857511571412877e-08,-6.16777415563433e-07,1.836066426477985e-05
36.898,3,36,898000000,,10.073631285431043,0.9999999997868914,9.9279455716094e-08,-6.919343831960348e-07,2.0633195217830285e-05,1.9853035775565193e-07,-1.3838728630023786e-06,4.126639030122831e-05
36.908,4,36,908000000,,10.073813364385027,0.9999999993279455,1.7583129498289017e-07,-1.2266869329330916e-06,3.664114332447724e-05,3.515726953070615e-07,-2.453386749539204e-06,7.328228623413667e-05
36.918,5,36,918000000,,10.074049349614208,0.9999999983628369,2.736951897918431e-07,-1.9114013222967618e-06,5.7189141758566566e-05,5.471717558891876e-07,-3.8228339431302974e-06,0.00011437828253382054
36.928,6,36,928000000,,10.07434012176381,0.9999999966126247,3.9261977331629444e-07,-2.7448536125349517e-06,8.226215581927939e-05,7.847879488334433e-07,-5.48977180199972e-06,0.00016452430967059555
36.938,7,36,938000000,,10.074686581985468,0.9999999937382485,5.323530402845234e-07,-3.72584013068444e-06,0.00011184515080535313,1.0638726396292744e-06,-7.4517992969894196e-06,0.00022369029811477746
36.948,8,36,948000000,,10.075089651671744,0.9999999893412092,6.926423546870116e-07,-4.853177037764922e-06,0.00014592309200686616,1.383868313475382e-06,-9.706556117252366e-06,0.00029184617833668175
36.958,9,36,958000000,,10.07555027196751,0.999999982964247,8.732344592736042e-07,-6.125699907962911e-06,0.00018448094469575706,1.7442087391146993e-06,-1.2251721797756481e-05,0.000368961880806624
36.968,10,36,968000000,,10.076069403329805,0.9999999740920192,1.0738754835664574e-06,-7.542263309712253e-06,0.00022750367411511,2.1443191265064394e-06,-1.5085014850423107e-05,0.0004550073359949203
36.978,11,36,978000000,,10.07664802509091,0.9999999621517731,1.2943109509689898e-06,-9.101740390115112e-06,0.0002749762454672366,2.583616279594818e-06,-1.820419190179774e-05,0.0005499524743718857
36.988,12,36,988000000,,10.077287135024589,0.999999946514017,1.5342857850318752e-06,-1.0803022463107271e-05,0.00032688362390058845,3.0615087443939815e-06,-2.1607046838070276e-05,0.0006537672264078361
36.998,13,36,998000000,,10.077987748915538,0.9999999264931918,1.7935443149276066e-06,-1.2645018600719926e-05,0.0003832107744955273,3.5773969525885738e-06,-2.5291409956158266e-05,0.0007664215225730872
37.008,14,37,8000000,,10.078750900131999,0.9999999013483356,2.071830280142469e-06,-1.4626655227909737e-05,0.00044394266224898613,4.130673360761969e-06,-2.925514712180537e-05,0.0008878852933379549
37.018,15,37,18000000,,10.079577639201544,0.9999998702837506,2.368886834455903e-06,-1.6746875720806917e-05,0.0005090642520580499,4.720722585485172e-06,-3.3496158934402944e-05,0.001018128469172754
37.028,16,37,28000000,,10.080469033390006,0.9999998324496635,2.6844565492583892e-06,-1.9004640008231165e-05,0.0005785605087024883,5.346921534460313e-06,-3.80123798982424e-05,0.001157120980547801
37.038,17,37,38000000,,10.081426814359643,0.9999997869428876,3.0122377135310084e-06,-2.139979217759864e-05,0.0006524163966995034,5.996550998428623e-06,-4.28035057160619e-05,0.001304832757933411
37.048,18,37,48000000,,10.082450800678584,0.999999732806838,3.3418705607084373e-06,-2.3959525897181914e-05,0.0007306168803437639,6.648728875119982e-06,-4.79239222631525e-05,0.0014612337317998997
37.058,19,37,58000000,,10.083542582872337,0.9999996690345779,3.7080845136064842e-06,-2.6628250447423227e-05,0.0008131469245793041,7.372861223325772e-06,-5.3262513729006166e-05,0.0016262938326175836
37.068,20,37,68000000,,10.084703621691435,0.9999995945661416,4.098932621347559e-06,-2.94289500725762e-05,0.0008999914933972644,8.144890323754676e-06,-5.886525432514513e-05,0.0017999829908567774
37.078,21,37,78000000,,10.08593483311351,0.999999508291487,4.505862415312626e-06,-3.2354320874998666e-05,0.0009911355504578212,8.94758538308042e-06,-6.471754181823464e-05,0.0019822711369877964
37.088,22,37,88000000,,10.087237504695926,0.99999940904995,4.922497360974482e-06,-3.541278084308662e-05,0.0010865640592250321,9.76803241890842e-06,-7.083621710847212e-05,0.002173128201480957
37.098,23,37,98000000,,10.088612639081532,0.9999992956312592,5.356522700213556e-06,-3.8610880054278215e-05,0.00118626198336545,1.062143264806642e-05,-7.723441427123296e-05,0.002372524114806576
37.108,24,37,108000000,,10.09006123633711,0.9999991667770723,5.813746457992748e-06,-4.19339646069391e-05,0.0012902142861686411,1.1519275668050174e-05,-8.388286138904051e-05,0.002580428807434966
37.118,25,37,118000000,,10.09158684003257,0.9999990211803707,6.283042209381244e-06,-4.5383684408073545e-05,0.001398405929998592,1.2439142543611337e-05,-9.078485258293931e-05,0.0027968122098364447
37.128,26,37,128000000,,10.093184946081823,0.9999988574859343,6.761071738322268e-06,-4.897315088784433e-05,0.0015108218771861621,1.3374148676470847e-05,-9.796661957755726e-05,0.0030216442524813284
37.138,27,37,138000000,,10.094864868190886,0.9999986742918593,7.25533218200173e-06,-5.270533994946968e-05,0.001627447090168396,1.433909490301404e-05,-0.00010543415568897921,0.00325489486583993
37.148,28,37,148000000,,10.096618394945303,0.9999984701527178,7.766632097139367e-06,-5.653354879721691e-05,0.0017482665303566647,1.533556910702195e-05,-0.0001130940811460239,0.0034965339803825677
37.158,29,37,158000000,,10.098455064476374,0.9999982435723475,8.291381402009687e-06,-6.0507160660663845e-05,0.0018732651591634023,1.6356041886258267e-05,-0.0001210451729758218,0.003746531526579556
37.167,30,37,168000000,,10.100372210110326,0.9999979930135063,8.850622837640834e-06,-6.459858037908781e-05,0.0020024279385304827,1.7442502291377758e-05,-0.0001292323472898242,0.004004857434901211
37.178,31,37,178000000,,10.102370745490678,0.9999977168945433,9.384970917136428e-06,-6.879697390485582e-05,0.002135739824833488,1.847603428257029e-05,-0.00013763372181503744,0.004271481635817849
37.188,32,37,188000000,,10.104454639561238,0.9999974135858617,9.967158144315187e-06,-7.313438760720911e-05,0.002273185782971708,1.9601768840992466e-05,-0.0001463137118292107,0.0045463740597997855
37.198,33,37,198000000,,10.106622748167403,0.9999970814204344,1.0548237160049477e-05,-7.757624203803736e-05,0.002414750768527861,2.0721758419253828e-05,-0.00015520297460187014,0.004829504637317332
37.208,34,37,208000000,,10.10887694616393,0.9999967186826283,1.113502013039783e-05,-8.216287252251704e-05,0.0025604197409387847,2.1849224601105926e-05,-0.00016438222723113704,0.005120843298840811
37.218,35,37,218000000,,10.111219576707322,0.9999963236197658,1.1722153155847963e-05,-8.68712181933288e-05,0.0027101776574817676,2.2973347601273657e-05,-0.00017380533675362024,0.005420359974840536
37.228,36,37,228000000,,10.113648482328134,0.9999958944407621,1.233091598638372e-05,-9.164761822141606e-05,0.002864009476730225,2.413677183605971e-05,-0.0001833651166614048,0.005728024595786816
37.238,37,37,238000000,,10.11616993527582,0.9999954292974464,1.3010835387936426e-05,-9.661441957440645e-05,0.0030219001617402003,2.5437634056292073e-05,-0.00019330659205228615,0.006043807092149973
37.248,38,37,248000000,,10.118781964104274,0.9999949263225,1.3691353887038751e-05,-0.00010167917473497452,0.0031838346612124294,2.6735110037823326e-05,-0.0002034445011128125,0.006367677394400325
37.258,39,37,258000000,,10.121489202599536,0.9999943836019347,1.4367972599968045e-05,-0.00010682686613932035,0.0033497979295656244,2.8020087621163183e-05,-0.0002137487935516122,0.006699605433008183
37.268,40,37,268000000,,10.124287544104064,0.9999937991696026,1.509671411562887e-05,-0.00011215562827125989,0.003519774928669527,2.940371661459429e-05,-0.0002244161415818576,0.0070395611384438655
37.278,41,37,278000000,,10.127183062864747,0.99999317104258,1.5807689196285097e-05,-0.00011757891411670944,0.003693750603539391,3.0746548978340306e-05,-0.00023527300384416783,0.007387514441177684
37.288,42,37,288000000,,10.130174762226556,0.9999924972076546,1.642349224439555e-05,-0.00012296811194346474,0.003871709895074721,3.189454530406265e-05,-0.000246061555156399,0.007743435271679955
37.298,43,37,298000000,,10.13325959478935,0.999991775568451,1.726295873845359e-05,-0.00012852258443483115,0.004053637797353802,3.34836666223185e-05,-0.00025718301321848573,0.008107293560421
37.308,44,37,308000000,,10.13645468782692,0.9999910040103234,1.821544744834849e-05,-0.00013432474730149847,0.004239519251642867,3.529162374274012e-05,-0.00026880153055219543,0.00847905923787113
37.318,45,37,318000000,,10.139747299567192,0.9999901803855797,1.8986727195127568e-05,-0.00014045082796132903,0.004429339170221219,3.672887425704143e-05,-0.0002810670985863228,0.008858702234500663
37.328,46,37,328000000,,10.14314288913521,0.9999893025310551,1.9866128378269687e-05,-0.00014675363275011807,0.004623082538990509,3.837492507214156e-05,-0.0002936878154397105,0.00924619248077991
37.338,47,37,338000000,,10.146639745203137,0.9999883682515098,2.0802902040061598e-05,-0.00015313309919147907,0.004820734298443115,4.012889406009283e-05,-0.0003064632112954663,0.009641499907179189
37.348,48,37,348000000,,10.150242241152094,0.9999873753062821,2.16520093232919e-05,-0.00015959053531516346,0.005022279373366409,4.170045757829322e-05,-0.0003193945313770943,0.010044594444168812
37.358,49,37,358000000,,10.153952116782726,0.9999863214111102,2.260698171848312e-05,-0.00016614349064965664,0.005227702740289083,4.3476249828301284e-05,-0.0003325188073705599,0.010455446022219102
